rule,d,n,p,mu_star,nD_star,nI_star,PoA,calc_time_sec
ps,3,3,0.05,0.09473684210526315,1,3,1.2855002137173135,8.890269041061401
ps,3,3,0.1,0.1568421052631579,2,3,1.5833365877259833,9.469573020935059
ps,3,3,0.15,0.20842105263157895,2,3,1.8951006961449217,10.708797931671143
ps,3,3,0.2,0.24421052631578946,1,3,2.2218495802716953,10.714455842971802
ps,3,3,0.25,0.27052631578947367,1,3,2.5645417861965574,11.188366889953613
ps,3,3,0.3,0.2957894736842105,2,3,2.9236933223841044,11.697384119033813
ps,3,3,0.35,0.31684210526315787,3,3,3.299920303525104,9.921102046966553
ps,3,3,0.39999999999999997,0.33789473684210525,1,3,3.6936739613546106,10.031174898147583
ps,3,3,0.44999999999999996,0.3526315789473684,3,3,4.105312504486255,9.964509963989258
ps,3,3,0.49999999999999994,0.3684210526315789,3,3,4.535374524167466,7.836221933364868
ps,3,3,0.5499999999999999,0.3789473684210526,2,3,4.983918981532348,10.405151844024658
ps,3,3,0.6,0.3894736842105263,2,3,5.451555783565846,19.542721033096313
ps,3,3,0.65,0.3989473684210526,2,3,5.93851756811127,18.50993824005127
ps,3,3,0.7,0.4094736842105263,3,3,6.4448935689852,22.247005939483643
ps,3,3,0.75,0.42,2,3,6.9711863549608255,21.82970905303955
ps,3,3,0.7999999999999999,0.42526315789473684,2,3,7.517743290857062,24.770515203475952
ps,3,3,0.85,0.4357894736842105,1,3,8.084380092011244,15.136652708053589
ps,3,3,0.9,0.44105263157894736,3,3,8.6717807729333,20.558797121047974
ps,3,3,0.95,0.45052631578947366,1,3,9.28011212708238,9.898598909378052
ps,3,3,1.0,0.4557894736842105,3,1,9.90930551615219,4.265074253082275
ps,3,5,0.05,0.11052631578947368,3,5,1.3670040454024848,109.96705102920532
ps,3,5,0.1,0.17789473684210527,3,5,1.7265568596519636,96.36113595962524
ps,3,5,0.15,0.22421052631578947,1,5,2.0890653193434674,82.94635510444641
ps,3,5,0.2,0.26,5,5,2.458801763160578,67.48921608924866
ps,3,5,0.25,0.2863157894736842,2,5,2.8378471277979576,89.36117196083069
ps,3,5,0.3,0.31157894736842107,5,5,3.2273564063124565,102.1671233177185
ps,3,5,0.35,0.32736842105263153,5,5,3.627944964750215,111.53302597999573
ps,3,5,0.39999999999999997,0.34736842105263155,5,5,4.039921356109376,110.27417206764221
