rule,d,n,p,mu_star,nD_star,nI_star,PoA,calc_time_sec
sv,3,3,0.05,0.1,2,3,1.267799486881782,10.051838874816896
sv,3,3,0.1,0.1673684210526315,1,3,1.5447511560735012,11.214133977890016
sv,3,3,0.15,0.2189473684210526,1,3,1.8333422976188507,12.471076965332031
sv,3,3,0.2,0.26,3,3,2.1352295775483023,13.402127027511597
sv,3,3,0.25,0.291578947368421,2,3,2.4515431008408752,15.85682201385498
sv,3,3,0.3,0.3168421052631578,2,3,2.7831225579075634,12.285248041152954
sv,3,3,0.35,0.3431578947368421,2,3,3.131106368752459,10.442671060562134
sv,3,3,0.3999999999999999,0.3578947368421052,1,3,3.4956366602415807,9.914942979812622
sv,3,3,0.4499999999999999,0.3736842105263158,1,3,3.8772811700904457,9.534727811813354
sv,3,3,0.4999999999999999,0.3894736842105263,2,3,4.276784079,8.622568845748901
sv,3,3,0.5499999999999999,0.4147368421052632,1,1,4.698000741551209,9.048325061798096
sv,3,3,0.6,0.4410526315789473,2,2,5.3095441074036165,8.965039253234863
sv,3,3,0.65,0.4557894736842105,1,1,5.984163815,8.851892948150635
sv,3,3,0.7,0.471578947368421,2,1,6.721842358617909,8.534708023071289
sv,3,3,0.75,0.4821052631578947,3,3,7.524750837743106,8.870989084243774
sv,3,3,0.7999999999999999,0.4926315789473684,1,1,8.396771338521454,8.566985845565796
sv,3,3,0.85,0.4978947368421053,3,3,9.3404912177335,8.593761920928955
sv,3,3,0.9,0.5073684210526316,2,3,10.358149193714906,7.678528070449829
sv,3,3,0.95,0.5126315789473684,3,3,11.453271438370496,7.553967714309692
sv,3,3,1.0,0.523157895,3,2,12.627447240448786,5.344316244125366
sv,3,5,0.05,0.12,5,5,1.3325741017099535,68.47737193107605
sv,3,5,0.1,0.1821052631578947,2,5,1.6505572813727465,104.77699589729308
sv,3,5,0.15,0.2294736842105263,1,5,1.9678389392597664,143.10208106040955
sv,3,5,0.2,0.2705263157894736,5,5,2.2892288769023614,137.09027194976807
sv,3,5,0.25,0.2957894736842105,3,5,2.617444809472243,161.9861879348755
sv,3,5,0.3,0.3221052631578947,3,5,2.9540250755004855,72.22041416168213
sv,3,5,0.35,0.3431578947368421,2,5,3.3000468538201293,46.40521597862244
sv,3,5,0.3999999999999999,0.3578947368421052,2,5,3.6558647867469953,42.05159378051758
sv,3,5,0.4499999999999999,0.3736842105263158,4,5,4.022207348895027,41.604464292526245
sv,3,5,0.4999999999999999,0.3894736842105263,4,5,4.398903493184753,35.157994985580444
sv,3,5,0.5499999999999999,0.3989473684210526,3,5,4.786573431198969,42.46262192726135
sv,3,5,0.6,0.4410526315789473,2,2,5.3095441074036165,35.99362516403198
sv,3,5,0.65,0.4557894736842105,1,1,5.984163815,35.07983708381653
sv,3,5,0.7,0.471578947368421,2,1,6.721842358617909,35.24804688
sv,3,5,0.75,0.4821052631578947,4,5,7.525054860010859,35.97163796424866
sv,3,5,0.7999999999999999,0.4926315789473684,4,1,8.397091806950511,35.14595699310303
sv,3,5,0.85,0.4978947368421053,3,3,9.3404912177335,33.043773889541626
sv,3,5,0.9,0.5073684210526316,2,3,10.358149193714906,30.49161410331726
sv,3,5,0.95,0.5126315789473684,3,3,11.453271438370496,28.19428802
sv,3,5,1.0,0.523157895,5,1,12.627486983968344,15.775042057037354
sv,3,10,0.05,0.1673684210526315,10,10,1.4448595918285336,2267.263722896576
sv,3,10,0.1,0.2084210526315789,7,10,1.8009847940563448,2411.7444140911102
sv,3,10,0.15,0.2442105263157894,4,10,2.148970852824584,1850.9444358348849
sv,3,10,0.2,0.2757894736842105,10,10,2.4898049054122597,1994.1324417591095
sv,3,10,0.25,0.3063157894736842,1,10,2.828109793950333,2080.7703862190247
